error_type	sentence	model prediction	generated sentences	generated sentences eval			count genereted senteces		count original
			When the show had started, I realized that Danny Brook was replaced by another actor.	divergent					
TV	I have almost forgotten to mention that it is free for students !	grammatical	I have almost forgotten to mention that it is free for students.	divergent					
			I have nearly forgotten to mention that it is free for students.	divergent					
			I almost forgot to mention that it is free for students!	fully					
			I nearly forgot to mention that it is free for students.	partially +					
			I have forgotten to mention that it is free for students.	divergent					
TV	I have got very responsible work I had to bring food for Peter Bolen and Tomas Anders .	wrong	I have got very responsible work. I had to bring food for Peter Bolen and Tomas Anders.	no modification					
			I have got very responsible work. I had to bring food for Peter Bolen and Tomas Anders.	no modification					
			I have got very responsible work. I had to bring food for Peter Bolen and Tomas Anderson.	divergent					
			I have a very responsible job. I had to bring food for Peter Bolen and Tomas Anders.	divergent					
			I have a very responsible job. I had to bring food for Peter Bolen and Tomas Anderson.	divergent					
TV	This has been scheduled 3 months ago .	grammatical	This has been scheduled 3 months before.	fully					
			This was scheduled 3 months ago.	fully					
			This has been planned 3 months ago.	divergent					
			This was set for 3 months ago.	divergent					
			This had been arranged 3 months prior.	divergent					
TV	I only put the speakers in the right places , or helping engieners tested the lights .	wrong	I only put the speakers in the right places, or helping engineers test the lights.	partially -					
			I only put the speakers in the right places.	divergent					
			I only put the speakers in the correct places, or helping engineers tested the lights.	divergent					
			I only put the speakers in the right places, or helped engineers test the lights.	fully					
			I only put the speakers in the right places, or helped engineers test the lights.	fully					
TV	It is only two or three years since I have used a computer at home , but now I wonder how I can live without it .	grammatical	It is only two or three years since I have used a computer at home, but now I wonder how I can live without it.	no modification					
			It is only two or three years since I used a computer at home, but now I wonder how I can live without it.	divergent					
			It is only two or three years since I have been using a computer at home, but now I wonder how I can live without it.	divergent					
			It is only two or three years since I use a computer at home, but now I wonder how I can live without it.	divergent					
			It is only two or three years since I used a computer at home, but now I wonder how I could live without it.	partially +					
TV	Maria talked to Pat about the stupid thing that she did , but Pat refused to apologaising to her , because she felt it was n't a mistake and she did it for only one reason : help Maria to get the man that she loved .	grammatical	Maria talked to Pat about the stupid thing that she did, but Pat refused to apologize to her because she felt it wasn't a mistake and she did it for only one reason: to help Maria get the man that she loved.	partially -					
			Maria talked to Pat about the stupid thing that she did, but Pat refused to apologizing to her because she felt it was n't a mistake and she did it for only one reason: help Maria to get the man that she loved.	partially -					
			Maria talked to Pat about the stupid thing that she did, but Pat refused to apologize to her because she felt it wasn't a mistake and she did it for only one reason: to help Maria get the man that she loved.	partially -					
			Maria talked to Pat about the stupid thing that she did, but Pat refused to apologizing to her because she felt it was n't a mistake and she did it for only one reason: to help Maria get the man that she loved.	partially -					
			Maria talked to Pat about the stupid thing that she did, but Pat refused to apologize to her because she felt it wasn't a mistake and she did it for only one reason: to help Maria get the man that she loved.	partially -					
TV	Just after Scala told her the new , Pat phoned her mother who worked in a bakery , to tell that Scala is pregnant .	wrong	Just after Scala told her the news, Pat phoned her mother who worked in a bakery to tell that Scala is pregnant.	partially -					
			Just after Scala told her the new, Pat phoned her mother who worked in a bakery to tell that she is pregnant.	divergent					
			Just after Scala told her the new, Pat phoned her mother who works in a bakery to tell that Scala is pregnant.	divergent					
			Just after Scala told her the news, Pat phoned her mother who works in a bakery to tell that she is pregnant.	divergent					
			Just after Scala told her the news, Pat phoned her mother who worked in a bakery to tell that Scala is pregnant.	partially -					
TV	During break time I did give a lots of direction to people who ca n't find toilet , and information such as where they could have a cup of coffee .	wrong	During break time, I did give lots of directions to people who can't find the toilet, and information such as where they could have a cup of coffee.	partially -					
			During break time I gave a lot of direction to people who couldn't find the toilet and information such as where they could have a cup of coffee.	partially +					
			During break time I gave lots of directions to people who couldn't find the toilet and information such as where they could have a cup of coffee.	partially +					
			During break time I did give lots of directions to people who can't find the toilet, and information on where they could have a cup of coffee.	divergent					
			During break time I did give lots of direction to people who can't find the toilet and information about where they could have a cup of coffee.	divergent					
TV	There are Robert Alan and Jack Ruby instead of them .	grammatical	There are Robert, Alan, and Jack Ruby instead of them.	fully					
			There are Robert, Alan, and Jack Ruby rather than them.	divergent					
			There are Robert, Alan, and Jack Ruby in place of them.	divergent					
			There are Robert, Alan, and Jack Ruby instead of those.	divergent					
			There are Robert, Alan, and Jack Ruby instead of these.	divergent					
TV	Unfortunately we realised that on the 14th we will already visit the Science Museum .	grammatical	Unfortunately we realised that on the 14th we will already visit the Science Museum.	fully					
			Unfortunately we realized that on the 14th we will have already visited the Science Museum.	fully					
			Unfortunately we realized that on the 14th we will already be visiting the Science Museum.	fully					
			Unfortunately we realized that we will already visit the Science Museum on the 14th.	divergent					
			Unfortunately we realize that on the 14th we will already visit the Science Museum.	divergent					
TV	All her friends were amazed at her change and started trusting her at once .	grammatical	All her friends were amazed at her change and started to trust her at once.	fully					
			Her friends were all amazed at her change and started trusting her at once.	divergent					
			All of her friends were amazed at her change and started to trust her at once.	divergent					
			All her friends were amazed by her change and started to trust her at once.	divergent					
			All her friends were amazed at her change and immediately started to trust her.	divergent					
TV	And I was helping them fixing the last details .	grammatical	And I was helping them fix the last details.	fully					
			And I helped them fixing the last details.	partially +					
			And I was helping them to fix the last details.	fully					
			And I was helping them with fixing the last details.	fully					
			And I was helping them fix last details.	divergent					
TV	Thanks for your last letter ; I knew you would interested at my experience of helping the pop concert last time , now I tell you about it .	wrong	Thanks for your last letter. I knew you would be interested in my experience of helping the pop concert last time. Now I tell you about it.	partially -					
			Thanks for your last letter. I knew you would be interested at my experience of helping the pop concert last time. Now I tell you about it.	divergent					
			Thanks for your last letter. I knew you would be interested at my experience of helping the pop concert last time, now I tell you about it.	divergent					
			Thanks for your last letter ; I knew you would be interested in my experience of helping the pop concert last time , now I tell you about it .	partially -					
			Thanks for your last letter ; I knew you would be interested in my experience of helping the pop concert last time. Now I tell you about it .	partially -					
TV	When the concert started I was preparing some drinks for the band because when the concert finished they were very tired and tersty .	grammatical	When the concert started, I was preparing some drinks for the band because when the concert finished, they were very tired and thirsty.	partially -					
			When the concert started, I prepared some drinks for the band because when the concert finished, they were very tired and thirsty.	partially +					
			When the concert started, I was preparing some drinks for the band because when the concert ended, they were very tired and thirsty.	divergent					
			When the concert began, I was preparing some drinks for the band because when the concert finished, they were very tired and thirsty.	divergent					
			When the concert started, I was preparing drinks for the band because when the concert finished, they were very tired and thirsty.	divergent					
TV	By the way I do n't see Pat about one year .	wrong	By the way, I don't see Pat around once a year.	divergent					
			By the way, I don't see Pat about once a year.	divergent					
			By the way, I don't see Pat about one year ago.	divergent					
			By the way, I don't see Pat around.	divergent					
			I don't see Pat about one year.	divergent					
TV	We are all extremely excited especially because of the trip to Greenwich , the town we were always interested in .	wrong	We are all extremely excited, especially because of the trip to Greenwich, the town we were always interested in.	no modification					
			We are all extremely excited, especially because of the trip to Greenwich; the town we were always interested in.	introducing error					
			We are all extremely excited, especially because of the trip to Greenwich-the town we were always interested in.	introducing error					
			We are all extremely excited, especially because of the trip to Greenwich. The town we were always interested in.	introducing error					
			We are all extremely excited, especially because of the trip to Greenwich; the town we were always interested in.	introducing error					
TV	ON THE OTHER HAND , THERE WILL BE LESS PEOPLE WHO WOULD WEAR WHATEVER THEY LIKE .	wrong	ON THE OTHER HAND, THERE WILL BE LESS PEOPLE WHO WOULD WEAR WHAT THEY LIKE.	divergent					
			ON THE OTHER HAND, THERE WILL BE FEWER PEOPLE WHO WOULD WEAR WHATEVER THEY LIKE.	fully					
			ON THE OTHER HAND, THERE WILL BE FEWER PEOPLE WHO WOULD WEAR WHAT THEY LIKE.	divergent					
			ON THE OTHER HAND, THERE WILL BE LESS PEOPLE WHO WOULD WEAR WHATEVER THEY CHOOSE.	divergent					
			ON THE OTHER HAND, THERE WILL BE LESS People WHO WOULD WEAR WHATEVER THEY LIKE.	divergent					
TV	Personally , I wanted to keep serets because I afraid that we might have splited up .	wrong	Personally, I wanted to keep secrets because I was afraid that we might have split up.	partially -					
			Personaly, I wanted to keep secret because I afraid we might have splited.	introducing error					
			Personally, I wanted to keep secrets because I feared that we might have split up.	divergent					
			Personally, I wanted to keep secret because I was afraid we might have split.	partially -					
			Personally, I wanted to keep secrets because I was afraid we might have split up.	partially -					
TV	First of all , you must invite artists and stars from more countries around the world , because there are people only from six countries .	grammatical	First of all, you must invite artists and stars from more countries around the world because there are people from only six countries.	fully					
			First of all, you must invite artists and stars from more countries around the world as there are people from only six countries.	divergent					
			First of all, you must invite artists and stars from more countries around the world since there are people from only six countries.	divergent					
			First of all, you must invite artists and stars from more countries around the world for there are people from only six countries.	divergent					
			First of all, you must invite artists and stars from more countries around the world because there are people in only six countries.	divergent					
TV	Before the concert actually started I had to give out lots of leaflets , they are list of pop band and group which will appear in the concert in order , and some information about their performance and backgrounds .	wrong	Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups which will appear at the concert in order, and some information about their performances and backgrounds.	fully					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups that will appear at the concert in order, and some information about their performances and backgrounds.	partially +					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups which will appear in the concert in order and some information about their performance and backgrounds.	fully					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop band and group which will appear at the concert in order and some information about their performances and background.	divergent					
			Before the concert actually started, I had to give out lots of leaflets. They are lists of pop bands and groups that will perform at the concert in order, and some information about their performance and backgrounds.	divergent					
TV	I hope you keep in great form , like you were the last time I saw you , how is your family , I hope everyone is ok .	wrong	I hope you keep in great shape, like you were the last time I saw you. How is your family? I hope everyone is okay.	partially -					
			I hope you stay in great form, like you were the last time I saw you. How is your family? I hope everyone is okay.	partially -					
			I hope you keep in great form, like you were the last time I saw you. How are things with your family? I hope everyone is okay.	divergent					
			I hope you keep in great form, like you did the last time I saw you. How is your family? I hope everything is okay.	divergent					
			I hope you keep in great condition, like you were the last time I saw you. How is your family? I hope all is well.	divergent					
TV	Finally , please could you give me an idea what sort of clothes to bring ? and how much would be spend there .	plausible	Finally, please could you give me an idea what sort of clothes to bring? And how much would be spent there.	partially -					
TV	So I had n't such perfect evening , as was promised in your advertisment .	plausible	So I hadn't such a perfect evening, as was promised in your advertisement.	partially -					
			So I didn't have such a perfect evening, as was promised in your advertisement.	fully					
			I hadn't such a perfect evening, as was promised in your advertisement.	divergent					
			I didn't have such a perfect evening, as was promised in your advertisement.	fully					
			So I had n't such a perfect evening, as was promised in your advertisement.	partially -					
TV	The computer for example makes communication much easier and faster then in past time , when everything was send by common mail , and it took weeks till it got the right place .	wrong	The computer, for example, makes communication much easier and faster than in past times. When everything was sent by common mail, it took weeks to get to the right place.	divergent					
			The computer, for example, makes communication much easier and faster than in the past. Everything was sent by common mail in the past, and it took weeks to reach its destination.	divergent					
			The computer, for example, makes communication much easier and faster than in the past. When everything was send by common mail in the past, it took weeks to get there.	divergent					
			The computer, for example, makes communication much easier and faster than in the past. When everything was sent by common mail, it took weeks to reach its destination.	divergent					
TV	Choosing gave me such big pleasure because I never have to worry from vere do I take money for my wishes .	wrong	Choosing gave me such big pleasure because I never have to worry about where I take money for my wishes.	fully					
			Choosing gave me such great pleasure because I never have to worry from where I take money for my wishes.	divergent					
			Choosing gave me such big pleasure because I never had to worry from where I take money for my wishes.	fully					
			Choosing gave me such big pleasure because I never have to worry from ver where I take money for my wishes.	introducing error					
			Choosing gave me such big pleasure because I never have to worry from where do I take money for my wishes.	partially -					
TV	I was writting as reply of your letter , I am glad to have won the first prize in your competition for two weeks at Camp California in the USA .	wrong	I was writing as a reply to your letter. I am glad to have won the first prize in your competition for two weeks at Camp California in the USA.	fully					
			I was writing as a reply to your letter. I am glad to have won the first prize in your competition last two weeks at Camp California in the USA.	divergent					
			I was writing as a reply to your letter. I am glad to have won the first prize in your competition for two weeks at Camp California in USA.	divergent					
			I was writing as a reply to your letter. I am glad to have won the first prize in your competition for two weeks at Camp California in the US.	divergent					
			I was writing as a reply to your letter. I am glad to have won the first prize in your competition for two weeks at Camp California in the USA.	fully					
TV	When her best friend , Scala , asked her an idea to surprise her husband because she 's pregnant , Pat put her feets in the plate just before Scala 's husband got the surprise .	wrong	When her best friend, Scala, asked her for an idea to surprise her husband because she's pregnant, Pat put her feet in the plate just before Scala's husband got the surprise.	partially -					
			When her best friend, Scala, asked her for an idea to surprise her husband because she is pregnant, Pat put her feet in the plate just before her husband got the surprise.	divergent					
			When her best friend, Scala, asked her for an idea to surprise her husband because she's pregnant, Pat put her feet in the plate just before Scala's husband got surprised.	divergent					
			When her best friend, Scala, asked her for an idea to surprise her husband because she is pregnant, Pat put her feet in the plate just before her husband got surprised.	divergent					
			When her best friend, Scala, asked her for an idea to surprise her husband because she is pregnant, Pat put her feet on the plate just before her husband got the surprise.	divergent					
TV	The fourth day , the singers and the players have been to there to test .	wrong	The fourth day, the singers and players have been there to test.	partially -					
			The fourth day, the singers and the players have gone there to test.	divergent					
			The fourth day, the singers and the players had been there to test.	partially -					
			The fourth day, the singers and the players have been there for testing.	divergent					
			The fourth day, the singers and the players have been there to do tests.	divergent					
TV	A very good point of this change is that women have more freedom to have a job because before reaching the technology they have to stay at home doing housework but now we have laundries and a lot of machines like microwave oven .	plausible	A very good point of this change is that women have more freedom to have a job because before they reached the technology, they had to stay at home doing housework, but now we have laundries and a lot of machines, like microwave ovens.	fully					
			A very good point of this change is that women have more freedom to have a job because before reaching the technology, they had to stay at home doing housework, but now we have laundries and a lot of machines.	partially +					
			A very good point of this change is that women have more freedom to have a job because before reaching the technology, they have to stay at home doing housework, but now we have laundries and many machines like microwave ovens.	divergent					
			A very good point of this change is that women have more freedom to have a job because before reaching the technology, they had to stay at home doing housework, but now we have laundries and lots of machines including microwave ovens.	divergent					
			A very good point of this change is that women have more freedom to have a job because before they reached the technology, they had to stay at home doing housework, but now we have many laundries and machines like microwave ovens.	fully					
TV	I am really appreciate if you can answer me these doubt and saying again .	wrong	I am really appreciate it if you can answer my doubts and say again.	partially -					
			I am really appreciative if you can answer my doubts and say again.	partially -					
			I am really appreciate if you can answer my doubts and say again.	partially -					
			I am really appreciate if you can answer these doubts and say again.	partially -					
			I am really appreciate if you can answer my doubts and saying it again.	partially -					
TV	For the men and women is important the appearance and they spent a lot of money in buy clothes , cosmetic , accesories , jewels etc .	wrong	For the men and women it is important the appearance and they spent a lot of money buying clothes cosmetic accessories jewels etc	introducing error					
			For the men and women it is important their appearance and they spent a lot of money in buy clothes cosmetic accessories jewels etc	introducing error					
			For the men and women it is important their appearance and they spent a lot of money buying clothes cosmetics accessories jewels etc	partially -					
			For the men and women it is important the appearance and they spend a lot of money in buying clothes cosmetic accessories jewels etc	partially -					
			For the men and women it is important the appearance and they spend a lot of money buying clothes cosmetics accessories jewels etc	partially +					
			For	divergent					
			For the men and women their appearance is important and they spent a lot of money in buy clothes cosmetic accessories jewels etc	introducing error					
			For the men and women their appearance is important and they spent a lot of money buying clothes cosmetic accessories jewels etc	partially -					
			For the men and women their appearance is important and they spend a lot of money in buying clothes cosmetic accessories jewels etc	partially +					
			For the men and women their appearance is important and they spend a lot of money buying clothes cosmetics accessories jewels etc	partially +					
			For	divergent					
TV	It was a big one that I never thougth and I could n't imagine how amazing was it .	wrong	It was a big one that I never thought and I couldn't imagine how amazing it was.	partially -					
			It was a big one that I never thought it would be and I could n't imagine how amazing it was.	divergent					
			It was a big one that I never thought and I could n't imagine how amazing was it.	divergent					
			It was a big one that I never thought and I could n't imagine how amazing it was.	partially -					
			It was a big one that I never thought and I couldn't imagine how amazing it was.	partially -					
TV	Because I did it for the first time.	grammatical	Because I did it for the first time.	fully					
			Because I did it for the very first time.	divergent					
			Because I did it for the first time.	fully					
			Because I did it on my first time.	divergent					
			Because I did it for my first time.	divergent					
TV	It's happened three months ago and during this months I am very upset.	wrong	It's happened 3 months ago, and during this time I have been very upset.	partially +					
			It's happened 3 months ago, and during these months I was very upset.	partially -					
			It's happened 3 months ago, and during this month I was very upset.	partially -					
			It's happened 3 months ago, and during this period I have been very upset.	partially +					
			It's happened 3 months ago, and during this time I was very upset.	divergent					
TV	The trip that you have planned for us, students, it's a great chance to meet new people and visit a beautiful city like London.	grammatical	The trip that you planned for us, students, is a great chance to meet new people and visit a beautiful city like London.	fully					
			The trip that you planned for us students it's a great chance to meet new people and visit a beautiful city like London	no modification					
			The trip that you planned for us students is a great chance to meet new people and visit a beautiful city like London	introducing error					
			The trip that you planned for us, students, is a great chance to meet new people and visit a beautiful place like London	introducing error					
			The trip that you planned for us, students, is a wonderful chance to meet new people and visit a beautiful city like London	divergent					
TV	So I hope I could help you.	plausible	So I hope I can help you.	fully					
			I hope I could help you.	divergent					
			So I hope I could have helped you.	fully					
			So I hope to help you.	divergent					
			So I hope that I could help you.	fully					
TV	I told her everything abat my boyfreind and when we were met each other and evertauly we were falling in love.	plausible	I told her everything about my boyfriend and when we met each other, eventually we fell in love.	fully					
			I told her everything about my boyfreind and when we were met each other, eventually we fell in love.	partially -					
			I told her everything about my boyfreind and when we were met each other and eventually we fell in love.	partially -					
			I told her everything about my boyfriend and when we were met each other and eventually we were falling in love.	partially +					
			I told her everything about my boyfriend and when we met each other and eventually we were falling in love.	partially +					
			I told her everything about my boyfriend and when we met each other and evertauly we fell in love.	partially +					
RV	I think that this programme has a good organisation , as you know , due to we have enough time to visit plenty of local interest points .	grammatical	I think that this program has good organization, as you know, due to we have enough time to visit plenty of local interest points.	divergent	133		245		51
			I think that this programme has a good organisation, as you know, due to we have enough time to visit plenty of local interest points.	partially -	13				
			I think that this programme has a good organisation, as you know, due to we have enough time to visit plenty of local interests.	divergent	43				
			I think that this programme has a good organization, as you know, due to we have enough time to visit plenty of local interests.	divergent	18				
			I think that this programme has a good organisation, as you know, because we have enough time to visit plenty of local interest points.	fully	29				
RV	The sun was shining and wind were breezing like we had imaged .	grammatical	The sun was shining and the wind was breezing like we had imagined.	fully	9				
			The sun was shining and winds were breezing like we had imaged.	fully					
			The sun was shining and the wind was breezing like we had imaged.	fully					
			The sun was shining and the wind was breezing as we had imaged.	divergent					
			The sun was shining and the wind was breezing like we had imagined.	fully					
RV	I got to go .	wrong	I have to go.	fully					
			I need to go.	fully					
			I got to going.	introducing error					
			I had to go.	fully					
			I must go.	fully					
RV	I am very well I 'm writing to explain my experience with the pop concert ; last month .	grammatical	I am very well. I'm writing to explain my experience with the pop concert; last month.	partially -					
			I am very good. I'm writing to explain my experience with the pop concert; last month.	divergent					
			I am very well I'm writing to explain my experience with the pop concert last month.	partially -					
			I am very well. I'm writing to explain my experience with the pop concert last month.	partially -					
			I am well. I'm writing to explain my experience with the pop concert; last month.	divergent					
RV	I am very happy to win this prize and I am going to give you some information from me that you need to make me have a good time at Camp California .	grammatical	I am very happy to win this prize and I am going to give you some information that you need to make me have a good time at Camp California.	divergent					
			I am very happy to win this prize. I am going to give you some information from me that you need to make me have a good time at Camp California.	partially -					
			I am very happy to win this prize and I am going to give you some information from me that you need to make it fun for me at Camp California.	divergent					
			I am very happy to win this prize and I am going to give you some information from me that you need to ensure I have a good time at Camp California.	fully					
			I am very happy to win this prize and I am going to give you some information from me that you need to help me have a good time at Camp California.	fully					
RV	A traditional way to earn money , in the spare time , is to bring newspapers or magazines to the families in your town or village .	grammatical	A traditional way to earn money in spare time is to deliver newspapers or magazines to families in your town or village.	partially +					
			A traditional way to earn money in the spare time is to bring newspapers or magazines to families in your town or village.	partially -					
			A traditional way to earn money during spare time is to deliver newspapers or magazines to families in your town or village.	partially +					
			A traditional way to earn money in one's spare time is to bring newspapers or magazines to families in your town or village.	divergent					
			A traditional way to make money in the spare time is to bring newspapers or magazines to families in your town or village.	divergent					
RV	She told me Pat had phoned her while we were going and my mum followed us because it was so dangerous to went by bicycle .	grammatical	She told me Pat had phoned her while we were going and my mum followed us because it was so dangerous to go by bicycle.	fully					
			She told me Pat had phoned her while we were going and my mum followed us because it was so dangerous to have gone by bicycle.	divergent					
			She told me Pat had phoned her while we were going and my mum followed us because it was so dangerous to be going by bicycle.	divergent					
			She told me Pat had phoned her while we were going and my mum followed us because it was so dangerous to go by bicycle, not walking.	divergent					
			She told me Pat had phoned her while we were going and my mum followed us because it was so dangerous to go by bicycle, not walking.	divergent					
RV	ON THE OTHER HAND - IT 'S VERY COMFORTABLE TO SEAT AT HOME , CALL AND WAIT FOR THE ORDER REALISATION .	wrong	ON THE OTHER HAND IT'S VERY COMFORTABLE TO SEAT AT HOME CALL AND WAIT FOR THE ORDER REALISATION .	introducing error					
			ON THE OTHER HAND IT'S VERY COMFORTABLE TO SEAT AT HOME CALL AND WAIT FOR THE ORDER TO BE REALISED .	divergent					
			ON THE OTHER HAND IT'S VERY COMFORTABLE TO SEAT AT HOME CALL AND WAIT FOR THE ORDER REALISATION .	introducing error					
			ON THE OTHER HAND IT'S VERY COMFORTABLE TO SEAT AT HOME CALL AND WAIT FOR THE ORDER .	divergent					
			ON THE OTHER HAND IT'S VERY COMFORTABLE TO SEAT AT HOME . CALL AND WAIT FOR THE ORDER REALISATION .	no modification					
RV	Even if I like to do shopping with some people and kind of shops I will kill myself because I waste my time .	wrong	Even if I like to do shopping with some people and kinds of shops, I will kill myself because I waste my time.	partially -					
			Even if I like to do shopping with some people and the kind of shops, I will kill myself because I waste my time.	no modification					
			Even if I like to do shopping with some people and kind of shops, I will kill myself as I waste my time.	divergent					
			Even if I like to shop with some people and kinds of shops, I will kill myself because I waste my time.	fully					
			Even if I like to shop with some people and the kind of shops, I will kill myself because I waste my time.	partially +					
RV	We might still favour that old carpet and couch .	grammatical	We might still favour the old carpet and couch.	divergent					
			We might still prefer the old carpet and couch.	fully					
			We might still like the old carpet and couch.	fully					
			We might still favor the old carpet and couch.	divergent					
			We might still enjoy the old carpet and couch.	divergent					
RV	We might even be able to open the door without getting out from the living room .	grammatical	We might even be able to open the door without getting up from the living room.	divergent					
			We might even be able to open the door without leaving the living room.	fully					
			We might even be able to open the door without getting out of the living room.	divergent					
			We might even be able to open the door without coming out from the living room.	divergent					
			We might even be able to open the door without going out from the living room.	partially +					
RV	For example , I was born knowing the man has stepped on the moon .	grammatical	For example, I was born knowing the man had stepped on the moon.	divergent					
			For example, I was born knowing that the man has stepped on the moon.	divergent					
			For example, I was born knowing that the man had stepped on the moon.	divergent					
			For example, For instance, I was born knowing the man had stepped on the moon.	divergent					
			For example, For instance, I was born knowing that the man had stepped on the moon.	divergent					
RV	"We put off the lights and then the door opened and I just heard """""""" What the hell is going on ? ! ! """""""""	wrong	"We put off the lights and then the door opened, and I just heard ""What the hell is going on?!?"""	partially -					
			"We put off the lights and then the door opened, and I just heard """" What the hell is going on? !!"""	no modification					
			"We put off the lights and then the door opened, and I just heard ""What the hell is going on?!!"""	no modification					
			"We put off the lights and then the door opened; I just heard ""What the hell is going on?!!"""	divergent					
			"We put off the lights and then the door opened, and I just heard ""What the hell is going on?!"""	partially -					
RV	COULD YOU PLEASE BE SO KIND AND CHANGE SOME OF THE ACTIVITIES THAT WE WILL HAVE ?	grammatical	COULD YOU PLEASE BE SO KIND AND CHANGE SOME OF THE ACTIVITIES THAT WE WILL HAVE	divergent					
			COULD YOU PLEASE BE SO KIND AND CHANGE SOME ACTIVITIES THAT WE WILL HAVE	divergent					
			COULD YOU PLEASE BE SO KIND TO CHANGE SOME OF THE ACTIVITIES THAT WE WILL HAVE	divergent					
			COULD YOU PLEASE BE SO KIND TO CHANGE SOME ACTIVITIES THAT WE WILL HAVE	divergent					
			COULD YOU PLEASE DO US A FAVOR AND CHANGE SOME OF THE ACTIVITIES THAT WE WILL HAVE	divergent					
RV	Although all that may change our houses may be still the same .	grammatical	Although all that may change, our houses may still be the same.	fully					
			Although what may change our houses may still be the same.	divergent					
			Although all that may change, our houses may be still the same.	fully					
			Although all that may change, our houses may still be the same.	fully					
			Although all that may change, our houses might still be the same.	divergent					
RV	Agatha said that it was the greatest present she could ever get !	grammatical	Agatha said that it was the greatest present she could ever receive!	fully					
			Agatha said that this was the greatest present she could ever get!	divergent					
			Agatha said that it was the greatest gift she could ever get!	fully					
			Agatha said that it was the greatest present she had ever received!	partially +					
			Agatha said that it was the greatest present she could have ever gotten!	divergent					
RV	I 've seen your festival and I would like to give you my suggestions to it .	grammatical	I've seen your festival and I would like to give you my suggestions.	divergent					
			I've seen your festival and I would like to give you my suggestions about it.	fully					
RV	The public was so excited to see the concert that we had to place some bouncer front of the scene , to avoid the people coming on the concert floor .	wrong	The public was so excited to see the concert that we had to place some bouncers in front of the scene to avoid people coming onto the concert floor.	partially -					
			The public was so excited to see the concert that we had to place some bouncers at the front of the scene to avoid people entering the concert floor.	partially -					
			The public was so excited to see the concert that we had to place some bouncers in front of the scene to avoid people entering the concert area.	divergent					
			The public was so excited to see the concert that we had to place some bouncers at the entrance of the scene to prevent people from accessing the concert floor.	divergent					
			The public was so excited to see the concert that we had to place some bouncers in front of the scene to stop people from getting on the concert floor.	partially +					
RV	I would rather stay in one of the log cabins as I am allergic to many plants and insects and I should avoid contacting them .	grammatical	I would rather stay in one of the log cabins as I am allergic to many plants and insects, and I should avoid contacting them.	partially -					
			I would rather stay in a log cabin as I am allergic to many plants and insects, and I should avoid contacting them.	divergent					
			I would rather stay in one of the log cabins as I am allergic to many plants and insects; I should avoid contacting them.	divergent					
			I would rather stay in one of the log cabins as I am allergic to many plants and insects, so I should avoid contacting them.	divergent					
			I would rather stay in a log cabin as I am allergic to many plants and insects, and I should avoid them.	divergent					
RV	I would be also grateful if you could send me information about the average living cost at California as I have to arrange the amount of money that I am going to spend , and some advice about the clothes that I need .	grammatical	I  would also be grateful if you could send me information about the average living cost in California as I have to arrange the amount of money that I am going to spend and some advice about the clothes that I need .	partially -					
			I would be grateful if you could send me information about the average living cost in California as I have to arrange the amount of money that I am going to spend and some advice about the clothes that I need .	divergent					
			I would be also grateful if you could send me information about the average living cost in California as I have to arrange the amount of money that I am going to spend and some advice about the clothes that I need .	divergent					
			I would be also grateful if you could send me information about the average living cost at California as I have to arrange the amount of money that I am going to spend and some advice about the clothes that I need .	divergent					
			I would be also grateful if you could send me information about the average living cost in California as I have to arrange the amount of money that I am going to spend and some advice about the clothes that I need .	divergent					
RV	I do understand that it must be difficult to get these people to go to the festival , but it would be nice if next year we could meet other personalities .	grammatical	I do understand that it must be difficult to get these people to go to the festival, but it would be nice if next year we could meet other personalities.	fully					
			I do understand that it is must be difficult to get these people to go to the festival, but it would be nice if next year we could meet other personalities.	introducing error					
			I do understand that it is must be difficult to get these people to go to the festival, but it would be nice if next year we could meet other personalities.	introducing error					
			I do understand that it must be difficult to get these people to attend the festival, but it would be nice if next year we could meet other personalities.	fully					
			I do understand that it must be difficult to get these people to go to the festival, but it would be nice if next year we could meet different personalities.	divergent					
RV	Moreover , I was shocked by the reason for which it was closed : the chef went away after he received a phone call !	grammatical	Moreover, I was shocked by the reason for which it was closed: The chef went away after he received a phone call!	introducing error					
			Moreover, I was shocked by the reason for which it was closed: The chef left after receiving a phone call!	partially +					
			Moreover, I was shocked by the reason for which it was closed: The chef went away because of a phone call!	divergent					
			Moreover, I was shocked by the reason for which it was closed: Because the chef received a phone call, he went away!	divergent					
			Moreover, I was shocked by the reason for which it was closed: The chef left due to a phone call!	partially +					
RV	I 'm also fond of tennis , I 've just started my lessons and would like to continue practising during the summer .	grammatical	I'm also fond of tennis. I've just started my lessons and would like to continue practising during the summer.	fully					
			I'm also fond of tennis, I've just started my lessons and would like to continue practicing during the summer.	fully					
			I'm also fond of tennis. I've just started lessons and would like to continue practising during the summer.	divergent					
			I'm also fond of tennis, I've just started lessons and would like to continue practicing during the summer.	divergent					
			I'm also fond of tennis, I've just begun my lessons and would like to continue practising during the summer.	divergent					
			I'm also fond of tennis. I've just started my lessons and would like to continue practising during the summer.	fully					
			I'm also fond of tennis, I've just started my lessons and would like to continue practicing during the summer.	fully					
